Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-262.926,112.674,4129.2,-210.391,-168.488,162.35,0.204653
2,pi+,3.2179,-45.7412,4129.2,-62.2729,-62.5894,166.955,0.0952683
2,pi+,67.8375,-158.987,4129.2,5.39953,-16.2307,305.171,0.196439
2,pi+,376.257,339.112,4129.2,86.6053,118.948,358.977,0.272732
2,pi+,154.162,49.1208,4129.2,61.9871,-22.5997,308.615,0.205504
2,pi+,-67.0234,-132.734,4129.2,-9.92427,-42.0426,198.259,0.106707
2,pi+,74.108,-43.3773,4129.2,145.715,-103.322,279.808,0.220542
2,pi+,235.604,-99.6724,4129.2,108.55,-61.6342,208.087,0.140361
2,pi+,24.164,-294.591,4129.2,-23.9181,-125.771,279.975,0.198447
2,pi+,303.327,-393.331,4129.2,180.298,-249.848,71.6157,0.206174
2,pi+,249.178,-105.941,4129.2,141.185,-66.0529,312.875,0.236816
2,pi+,-24.9791,-241.761,4129.2,-4.45315,-194.389,228.713,0.191484
2,pi+,194.32,1.58847,4129.2,27.7172,20.8771,139.296,0.0606478
2,pi+,-139.898,67.5749,4129.2,-213.253,93.885,258.995,0.235729
2,pi+,-39.5369,99.8979,4129.2,-4.79217,79.7144,103.91,0.0518832
2,pi+,-83.6091,-46.3858,4129.2,-10.1759,-92.4671,295.232,0.199981
2,pi+,123.609,57.4613,4129.2,12.5724,19.4819,328.286,0.217906
2,pi+,142.944,-573.302,4129.2,126.364,-119.515,142.904,0.125294
2,pi+,-76.5736,-154.365,4129.2,-4.11428,-49.1264,201.633,0.110562
2,pi+,89.6294,-126.86,4129.2,191.968,-145.481,172.954,0.188163
2,pi+,-42.3877,-160.554,4130.2,155.665,149.745,-117.248,0.143064
2,pi+,170.393,-226.313,4129.2,-137.664,121.925,41.9435,0.0950694
2,pi+,-118.963,-658.515,4129.2,-70.574,-352.489,171.053,0.282292
2,pi+,57.4461,55.6825,4129.2,-37.905,-18.1635,284.594,0.18018
2,pi+,-245.588,-159.34,4129.2,-159.03,-120.738,250.264,0.209687
2,pi+,46.1,-198.826,4130.2,-38.4306,60.7447,-230.548,0.139355
2,pi+,-137.563,153.065,4129.2,-66.5533,67.7539,175.232,0.103753
2,pi+,142.965,-74.264,4129.2,15.3988,-22.1621,125.068,0.0497709
2,pi+,-8.51923,-32.042,4129.2,0.177427,-2.57887,212.43,0.114621
2,pi+,-2.93097,-52.6567,4129.2,-48.0477,-62.8222,379.215,0.272181
2,pi+,-58.0466,-149.74,4129.2,-9.73796,-13.0542,362.164,0.248898
2,pi+,-192.024,-38.1416,4129.2,-16.8895,-2.63448,341.074,0.229351
2,pi+,161.543,-147.473,4129.2,17.2675,-12.9996,376.967,0.262985
2,pi+,-358.121,513.11,4129.2,14.6692,-71.2204,106.875,0.0506656
2,pi+,120.729,-35.0152,4129.2,8.33686,-7.21904,392.304,0.276968
2,pi+,40.3433,18.4573,4129.2,56.8025,-1.13558,367.856,0.257954
2,pi+,97.0588,-0.10893,4129.2,34.2823,-39.3832,365.235,0.254895
2,pi+,-54.8362,66.6044,4129.2,38.2803,6.32671,254.534,0.1533
2,pi+,39.8141,2.28631,4129.2,40.4413,2.2333,188.696,0.0986031
2,pi+,-121.932,516.87,4129.2,-29.0056,124.748,179.503,0.121398
2,pi+,121.545,115.001,4129.2,-17.6838,-8.9206,119.391,0.0451631
2,pi+,-135.323,36.4163,4129.2,13.6121,-183.187,106.648,0.114588
2,pi+,159.952,-138.525,4129.2,76.9587,-53.2062,363.118,0.260539
2,pi+,144.535,131.091,4129.2,64.4712,18.5883,350.326,0.243458
2,pi+,64.8314,71.3074,4129.2,-62.0134,-32.9436,370.695,0.262705
2,pi+,7.25944,347.448,4129.2,-0.381861,206.5,109.79,0.132783
2,pi+,-203.196,-6.42192,4129.2,-107.964,4.2527,337.493,0.241291
2,pi+,-166.155,-62.7935,4129.2,-22.1281,-25.5526,179.222,0.0900879
2,pi+,-188.697,481.771,4129.2,-48.8879,123.124,300.127,0.216949
2,pi+,1.24042,-108.08,4129.2,0.0564618,-5.38888,386.533,0.271425
2,pi+,-54.7927,-67.0815,4129.2,-46.1484,30.7459,331.74,0.22458
2,pi+,-161.493,-117.094,4129.2,-46.8033,-19.3679,216.006,0.122545
2,pi+,120.446,-82.8179,4129.2,17.7421,49.154,347.403,0.23845
2,pi+,-511.732,14.1116,4129.2,190.597,-3.83158,82.867,0.110807
2,pi+,87.1879,-56.0996,4129.2,11.4374,35.995,200.393,0.10754
2,pi+,-49.4191,99.543,4129.2,-78.1662,16.3565,355.468,0.250577
2,pi+,205.151,43.0659,4129.2,44.3631,-2.53634,265.617,0.163756
2,pi+,-86.8259,158.873,4129.2,-20.7443,85.4257,104.025,0.0554399
2,pi+,68.5765,101.298,4129.2,-20.5517,-21.1391,282.576,0.176971
